       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.400038745459E+03   -0.40004E+03   -0.21946E+00  1472   0.297E+00    0.779E-01
DAV:   2    -0.400060589829E+03   -0.21844E-01   -0.19442E-01  1584   0.600E+00    0.151E+00
DAV:   3    -0.400010829235E+03    0.49761E-01   -0.11092E-01  1568   0.420E+00    0.353E-01
DAV:   4    -0.400010497730E+03    0.33150E-03   -0.25134E-02  1880   0.122E+00    0.278E-01
DAV:   5    -0.400009652785E+03    0.84495E-03   -0.97510E-03  1712   0.743E-01    0.745E-02
DAV:   6    -0.400009816411E+03   -0.16363E-03   -0.21618E-03  1520   0.254E-01    0.748E-02
DAV:   7    -0.400009802076E+03    0.14336E-04   -0.96978E-04  1520   0.215E-01    0.414E-02
DAV:   8    -0.400009809171E+03   -0.70960E-05   -0.23873E-04  1528   0.118E-01    0.309E-02
DAV:   9    -0.400009799374E+03    0.97972E-05   -0.95689E-05  1512   0.752E-02
   1 F= -.40000980E+03 E0= -.39984300E+03  d E =-.500406E+00
