       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.386439972119E+03   -0.38644E+03   -0.22087E+00  1472   0.283E+00    0.696E-01
DAV:   2    -0.386441363039E+03   -0.13909E-02   -0.11022E-01  1592   0.496E+00    0.109E+00
DAV:   3    -0.386414283709E+03    0.27079E-01   -0.59197E-02  1576   0.338E+00    0.290E-01
DAV:   4    -0.386414281470E+03    0.22386E-05   -0.23347E-02  2080   0.974E-01    0.220E-01
DAV:   5    -0.386413744207E+03    0.53726E-03   -0.56098E-03  1568   0.618E-01    0.658E-02
DAV:   6    -0.386413821526E+03   -0.77320E-04   -0.14494E-03  1512   0.161E-01    0.493E-02
DAV:   7    -0.386413842016E+03   -0.20490E-04   -0.51074E-04  1544   0.168E-01    0.429E-02
DAV:   8    -0.386413826012E+03    0.16004E-04   -0.15700E-04  1544   0.944E-02    0.143E-02
DAV:   9    -0.386413823868E+03    0.21440E-05   -0.30319E-05   944   0.370E-02
   1 F= -.38641382E+03 E0= -.38640914E+03  d E =-.140501E-01
