       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.101653432306E+03   -0.10165E+03   -0.62335E+02 17646   0.425E+01    0.828E+00
RMM:   2    -0.989719232190E+02    0.26815E+01   -0.13302E+01 17952   0.100E+01    0.129E+00
RMM:   3    -0.990106099291E+02   -0.38687E-01   -0.93385E-01 18865   0.194E+00    0.797E-01
RMM:   4    -0.990131113212E+02   -0.25014E-02   -0.35341E-02 18654   0.352E-01    0.239E-01
RMM:   5    -0.990134993234E+02   -0.38800E-03   -0.22832E-03 18871   0.979E-02    0.671E-02
RMM:   6    -0.990134114814E+02    0.87842E-04   -0.12297E-03 18253   0.100E-01    0.225E-02
RMM:   7    -0.990133977045E+02    0.13777E-04   -0.84786E-05 18320   0.230E-02    0.469E-03
RMM:   8    -0.990133962455E+02    0.14590E-05   -0.88759E-06 10394   0.898E-03
   1 F= -.99013396E+02 E0= -.99011126E+02  d E =-.681185E-02
