       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.401045242981E+03   -0.40105E+03   -0.41875E+02 26444   0.223E+01    0.256E+00
RMM:   2    -0.401237944055E+03   -0.19270E+00   -0.59967E+00 27232   0.570E+00    0.132E+00
RMM:   3    -0.401217526539E+03    0.20418E-01   -0.22605E-01 27297   0.108E+00    0.824E-01
RMM:   4    -0.401203046529E+03    0.14480E-01   -0.25666E-02 27293   0.372E-01    0.188E-01
RMM:   5    -0.401202191697E+03    0.85483E-03   -0.19313E-03 27383   0.821E-02    0.135E-01
RMM:   6    -0.401201798286E+03    0.39341E-03   -0.82649E-04 27591   0.613E-02    0.688E-02
RMM:   7    -0.401201612517E+03    0.18577E-03   -0.22372E-04 27415   0.327E-02    0.165E-02
RMM:   8    -0.401201583826E+03    0.28692E-04   -0.45391E-05 21627   0.166E-02    0.944E-03
RMM:   9    -0.401201578734E+03    0.50916E-05   -0.40172E-06 14481   0.466E-03
   1 F= -.40120158E+03 E0= -.40120674E+03  d E =0.154943E-01
