       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.401045243743E+03   -0.40105E+03   -0.41876E+02 26439   0.223E+01    0.256E+00
RMM:   2    -0.401237994605E+03   -0.19275E+00   -0.59968E+00 27234   0.570E+00    0.132E+00
RMM:   3    -0.401217527936E+03    0.20467E-01   -0.22620E-01 27299   0.108E+00    0.824E-01
RMM:   4    -0.401203046840E+03    0.14481E-01   -0.25650E-02 27295   0.372E-01    0.188E-01
RMM:   5    -0.401202191909E+03    0.85493E-03   -0.19342E-03 27383   0.822E-02    0.135E-01
RMM:   6    -0.401201798646E+03    0.39326E-03   -0.82722E-04 27597   0.613E-02    0.688E-02
RMM:   7    -0.401201612620E+03    0.18603E-03   -0.22389E-04 27422   0.327E-02    0.165E-02
RMM:   8    -0.401201583831E+03    0.28790E-04   -0.45552E-05 21685   0.167E-02    0.945E-03
RMM:   9    -0.401201578705E+03    0.51257E-05   -0.40312E-06 14483   0.467E-03
   1 F= -.40120158E+03 E0= -.40120674E+03  d E =0.154943E-01
