       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.904628535643E+02   -0.90463E+02   -0.58041E+02 17502   0.446E+01    0.711E+00
RMM:   2    -0.890196034767E+02    0.14433E+01   -0.12302E+01 17805   0.116E+01    0.121E+00
RMM:   3    -0.890149945819E+02    0.46089E-02   -0.16125E-01 18248   0.749E-01    0.650E-01
RMM:   4    -0.890151003538E+02   -0.10577E-03   -0.35846E-02 18136   0.597E-01    0.194E-01
RMM:   5    -0.890144777621E+02    0.62259E-03   -0.82468E-03 18141   0.318E-01    0.536E-02
RMM:   6    -0.890144332468E+02    0.44515E-04   -0.10718E-04 18422   0.282E-02    0.317E-02
RMM:   7    -0.890144050889E+02    0.28158E-04   -0.14238E-04 18240   0.393E-02    0.333E-03
RMM:   8    -0.890144013553E+02    0.37336E-05   -0.37987E-06 10081   0.484E-03
   1 F= -.89014401E+02 E0= -.89009658E+02  d E =-.142314E-01
