       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.390250400456E+03   -0.39025E+03   -0.22074E+00  1472   0.285E+00    0.710E-01
DAV:   2    -0.390254898476E+03   -0.44980E-02   -0.11761E-01  1584   0.515E+00    0.116E+00
DAV:   3    -0.390224230403E+03    0.30668E-01   -0.63987E-02  1576   0.353E+00    0.301E-01
DAV:   4    -0.390224258791E+03   -0.28389E-04   -0.23934E-02  2080   0.103E+00    0.239E-01
DAV:   5    -0.390223588852E+03    0.66994E-03   -0.63268E-03  1592   0.657E-01    0.670E-02
DAV:   6    -0.390223685599E+03   -0.96747E-04   -0.15968E-03  1512   0.174E-01    0.534E-02
DAV:   7    -0.390223700596E+03   -0.14997E-04   -0.58617E-04  1536   0.177E-01    0.423E-02
DAV:   8    -0.390223688885E+03    0.11711E-04   -0.15964E-04  1544   0.928E-02    0.168E-02
DAV:   9    -0.390223686508E+03    0.23777E-05   -0.42193E-05  1344   0.448E-02
   1 F= -.39022369E+03 E0= -.39018188E+03  d E =-.125415E+00
