       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.390250404060E+03   -0.39025E+03   -0.22073E+00  1472   0.285E+00    0.710E-01
DAV:   2    -0.390254889862E+03   -0.44858E-02   -0.11745E-01  1584   0.515E+00    0.116E+00
DAV:   3    -0.390224229450E+03    0.30660E-01   -0.63991E-02  1584   0.353E+00    0.301E-01
DAV:   4    -0.390224258832E+03   -0.29382E-04   -0.23959E-02  2080   0.103E+00    0.239E-01
DAV:   5    -0.390223589025E+03    0.66981E-03   -0.63250E-03  1592   0.657E-01    0.670E-02
DAV:   6    -0.390223685626E+03   -0.96601E-04   -0.15959E-03  1512   0.174E-01    0.534E-02
DAV:   7    -0.390223700651E+03   -0.15025E-04   -0.58607E-04  1536   0.177E-01    0.423E-02
DAV:   8    -0.390223688895E+03    0.11755E-04   -0.15975E-04  1544   0.929E-02    0.168E-02
DAV:   9    -0.390223686529E+03    0.23666E-05   -0.42259E-05  1352   0.448E-02
   1 F= -.39022369E+03 E0= -.39018188E+03  d E =-.125415E+00
