       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.394865787805E+03   -0.39487E+03   -0.38414E+02 26361   0.211E+01    0.348E+00
RMM:   2    -0.394858073692E+03    0.77141E-02   -0.55237E+00 26989   0.518E+00    0.194E+00
RMM:   3    -0.394794164481E+03    0.63909E-01   -0.34689E-01 27049   0.142E+00    0.772E-01
RMM:   4    -0.394781902741E+03    0.12262E-01   -0.24572E-02 27100   0.362E-01    0.195E-01
RMM:   5    -0.394780837425E+03    0.10653E-02   -0.29590E-03 27203   0.116E-01    0.173E-01
RMM:   6    -0.394780281865E+03    0.55556E-03   -0.11737E-03 27440   0.715E-02    0.992E-02
RMM:   7    -0.394779972557E+03    0.30931E-03   -0.51156E-04 27194   0.475E-02    0.190E-02
RMM:   8    -0.394779919843E+03    0.52714E-04   -0.62077E-05 25162   0.197E-02    0.949E-03
RMM:   9    -0.394779916005E+03    0.38385E-05   -0.36959E-06 14740   0.433E-03
   1 F= -.39477992E+03 E0= -.39477021E+03  d E =-.291075E-01
