       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.398263510691E+03   -0.39826E+03   -0.22054E+00  1472   0.292E+00    0.754E-01
DAV:   2    -0.398279151670E+03   -0.15641E-01   -0.14767E-01  1576   0.571E+00    0.139E+00
DAV:   3    -0.398236082842E+03    0.43069E-01   -0.87788E-02  1568   0.398E+00    0.337E-01
DAV:   4    -0.398235936551E+03    0.14629E-03   -0.24668E-02  1960   0.117E+00    0.271E-01
DAV:   5    -0.398235084213E+03    0.85234E-03   -0.86067E-03  1704   0.726E-01    0.721E-02
DAV:   6    -0.398235228437E+03   -0.14422E-03   -0.19780E-03  1520   0.229E-01    0.686E-02
DAV:   7    -0.398235222379E+03    0.60581E-05   -0.84938E-04  1520   0.205E-01    0.408E-02
DAV:   8    -0.398235225815E+03   -0.34358E-05   -0.20805E-04  1536   0.109E-01    0.278E-02
DAV:   9    -0.398235217409E+03    0.84057E-05   -0.80759E-05  1504   0.700E-02
   1 F= -.39823522E+03 E0= -.39809582E+03  d E =-.418190E+00
