       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.398263513214E+03   -0.39826E+03   -0.22053E+00  1464   0.292E+00    0.754E-01
DAV:   2    -0.398279146228E+03   -0.15633E-01   -0.14766E-01  1576   0.571E+00    0.139E+00
DAV:   3    -0.398236082688E+03    0.43064E-01   -0.87782E-02  1568   0.398E+00    0.337E-01
DAV:   4    -0.398235936363E+03    0.14633E-03   -0.24659E-02  1960   0.117E+00    0.271E-01
DAV:   5    -0.398235084301E+03    0.85206E-03   -0.86155E-03  1712   0.726E-01    0.720E-02
DAV:   6    -0.398235228310E+03   -0.14401E-03   -0.19745E-03  1520   0.229E-01    0.685E-02
DAV:   7    -0.398235222398E+03    0.59117E-05   -0.84730E-04  1520   0.205E-01    0.408E-02
DAV:   8    -0.398235225803E+03   -0.34044E-05   -0.20786E-04  1536   0.109E-01    0.277E-02
DAV:   9    -0.398235217408E+03    0.83950E-05   -0.80488E-05  1504   0.699E-02
   1 F= -.39823522E+03 E0= -.39809582E+03  d E =-.418190E+00
