       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.884275741503E+02   -0.88428E+02   -0.56209E+02 17548   0.437E+01    0.671E+00
RMM:   2    -0.871940074644E+02    0.12336E+01   -0.11765E+01 17868   0.112E+01    0.123E+00
RMM:   3    -0.871885535752E+02    0.54539E-02   -0.17576E-01 18314   0.767E-01    0.653E-01
RMM:   4    -0.871885380034E+02    0.15572E-04   -0.41133E-02 18171   0.640E-01    0.200E-01
RMM:   5    -0.871877592984E+02    0.77871E-03   -0.93820E-03 18189   0.333E-01    0.581E-02
RMM:   6    -0.871877113775E+02    0.47921E-04   -0.13474E-04 18512   0.292E-02    0.357E-02
RMM:   7    -0.871876737986E+02    0.37579E-04   -0.21024E-04 18258   0.477E-02    0.481E-03
RMM:   8    -0.871876704905E+02    0.33082E-05   -0.31150E-06 10281   0.329E-03
   1 F= -.87187670E+02 E0= -.87182849E+02  d E =-.144649E-01
