       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.396240648806E+03   -0.39624E+03   -0.22048E+00  1472   0.289E+00    0.740E-01
DAV:   2    -0.396252528008E+03   -0.11879E-01   -0.13573E-01  1584   0.553E+00    0.132E+00
DAV:   3    -0.396213566951E+03    0.38961E-01   -0.77966E-02  1576   0.385E+00    0.326E-01
DAV:   4    -0.396213523909E+03    0.43042E-04   -0.24711E-02  2000   0.114E+00    0.264E-01
DAV:   5    -0.396212698254E+03    0.82566E-03   -0.78776E-03  1648   0.710E-01    0.703E-02
DAV:   6    -0.396212830108E+03   -0.13185E-03   -0.18727E-03  1512   0.211E-01    0.639E-02
DAV:   7    -0.396212830965E+03   -0.85711E-06   -0.77326E-04  1520   0.197E-01    0.409E-02
DAV:   8    -0.396212830363E+03    0.60195E-06   -0.18896E-04  1544   0.102E-01    0.246E-02
DAV:   9    -0.396212823943E+03    0.64200E-05   -0.68538E-05  1504   0.635E-02
   1 F= -.39621282E+03 E0= -.39610067E+03  d E =-.336460E+00
