       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.396240648974E+03   -0.39624E+03   -0.22046E+00  1472   0.290E+00    0.739E-01
DAV:   2    -0.396252519164E+03   -0.11870E-01   -0.13568E-01  1584   0.553E+00    0.132E+00
DAV:   3    -0.396213565098E+03    0.38954E-01   -0.77965E-02  1576   0.385E+00    0.326E-01
DAV:   4    -0.396213522855E+03    0.42243E-04   -0.24710E-02  2000   0.114E+00    0.264E-01
DAV:   5    -0.396212698410E+03    0.82445E-03   -0.78851E-03  1648   0.710E-01    0.703E-02
DAV:   6    -0.396212830104E+03   -0.13169E-03   -0.18716E-03  1520   0.211E-01    0.639E-02
DAV:   7    -0.396212831005E+03   -0.90088E-06   -0.77335E-04  1520   0.197E-01    0.409E-02
DAV:   8    -0.396212830362E+03    0.64232E-06   -0.18907E-04  1544   0.102E-01    0.246E-02
DAV:   9    -0.396212823943E+03    0.64193E-05   -0.68441E-05  1504   0.635E-02
   1 F= -.39621282E+03 E0= -.39610067E+03  d E =-.336460E+00
