       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.391496748364E+03   -0.39150E+03   -0.37775E+02 26367   0.209E+01    0.363E+00
RMM:   2    -0.391459334096E+03    0.37414E-01   -0.55180E+00 26946   0.509E+00    0.210E+00
RMM:   3    -0.391380770680E+03    0.78563E-01   -0.38979E-01 27007   0.151E+00    0.748E-01
RMM:   4    -0.391369347622E+03    0.11423E-01   -0.23572E-02 27077   0.353E-01    0.198E-01
RMM:   5    -0.391368245068E+03    0.11026E-02   -0.29790E-03 27184   0.118E-01    0.177E-01
RMM:   6    -0.391367665448E+03    0.57962E-03   -0.12218E-03 27394   0.723E-02    0.103E-01
RMM:   7    -0.391367337762E+03    0.32769E-03   -0.53533E-04 27179   0.484E-02    0.183E-02
RMM:   8    -0.391367282770E+03    0.54991E-04   -0.55435E-05 24668   0.187E-02    0.908E-03
RMM:   9    -0.391367279204E+03    0.35662E-05   -0.37294E-06 14728   0.433E-03
   1 F= -.39136728E+03 E0= -.39135341E+03  d E =-.416179E-01
