       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.391496829031E+03   -0.39150E+03   -0.37775E+02 26371   0.209E+01    0.363E+00
RMM:   2    -0.391459288091E+03    0.37541E-01   -0.55178E+00 26945   0.509E+00    0.210E+00
RMM:   3    -0.391380747442E+03    0.78541E-01   -0.38971E-01 27011   0.151E+00    0.747E-01
RMM:   4    -0.391369347422E+03    0.11400E-01   -0.23551E-02 27080   0.353E-01    0.198E-01
RMM:   5    -0.391368244733E+03    0.11027E-02   -0.29774E-03 27183   0.118E-01    0.177E-01
RMM:   6    -0.391367664752E+03    0.57998E-03   -0.12202E-03 27400   0.723E-02    0.103E-01
RMM:   7    -0.391367337755E+03    0.32700E-03   -0.53482E-04 27180   0.484E-02    0.183E-02
RMM:   8    -0.391367282806E+03    0.54949E-04   -0.55289E-05 24648   0.186E-02    0.906E-03
RMM:   9    -0.391367279245E+03    0.35608E-05   -0.37310E-06 14743   0.433E-03
   1 F= -.39136728E+03 E0= -.39135341E+03  d E =-.416178E-01
