       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.922871841459E+02   -0.92287E+02   -0.61970E+02 17376   0.465E+01    0.781E+00
RMM:   2    -0.904341562105E+02    0.18530E+01   -0.13082E+01 17737   0.123E+01    0.113E+00
RMM:   3    -0.904347070212E+02   -0.55081E-03   -0.13672E-01 18230   0.677E-01    0.641E-01
RMM:   4    -0.904351928432E+02   -0.48582E-03   -0.25037E-02 18164   0.496E-01    0.180E-01
RMM:   5    -0.904348850235E+02    0.30782E-03   -0.58535E-03 18137   0.276E-01    0.419E-02
RMM:   6    -0.904348657847E+02    0.19239E-04   -0.57565E-05 15212   0.211E-02    0.248E-02
RMM:   7    -0.904348541003E+02    0.11684E-04   -0.63880E-05 17608   0.254E-02    0.352E-03
RMM:   8    -0.904348506306E+02    0.34697E-05   -0.58382E-06  9991   0.744E-03
   1 F= -.90434851E+02 E0= -.90430002E+02  d E =-.145449E-01
