       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.998611688212E+02   -0.99861E+02   -0.61459E+02 17640   0.422E+01    0.817E+00
RMM:   2    -0.972321803350E+02    0.26290E+01   -0.13331E+01 17972   0.993E+00    0.127E+00
RMM:   3    -0.972745259812E+02   -0.42346E-01   -0.94236E-01 18901   0.192E+00    0.800E-01
RMM:   4    -0.972770397697E+02   -0.25138E-02   -0.36112E-02 18595   0.366E-01    0.231E-01
RMM:   5    -0.972773891753E+02   -0.34941E-03   -0.25133E-03 18941   0.985E-02    0.659E-02
RMM:   6    -0.972773125433E+02    0.76632E-04   -0.12780E-03 18238   0.102E-01    0.241E-02
RMM:   7    -0.972772977522E+02    0.14791E-04   -0.95890E-05 18648   0.251E-02    0.481E-03
RMM:   8    -0.972772963896E+02    0.13626E-05   -0.88730E-06 10413   0.865E-03
   1 F= -.97277296E+02 E0= -.97275118E+02  d E =-.653592E-02
