       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.399541568704E+03   -0.39954E+03   -0.22019E+00  1472   0.294E+00    0.766E-01
DAV:   2    -0.399560573790E+03   -0.19005E-01   -0.16296E-01  1584   0.586E+00    0.145E+00
DAV:   3    -0.399513906047E+03    0.46668E-01   -0.10108E-01  1576   0.410E+00    0.347E-01
DAV:   4    -0.399513681386E+03    0.22466E-03   -0.24802E-02  1944   0.120E+00    0.275E-01
DAV:   5    -0.399512817901E+03    0.86348E-03   -0.91020E-03  1720   0.735E-01    0.735E-02
DAV:   6    -0.399512972884E+03   -0.15498E-03   -0.20706E-03  1520   0.243E-01    0.722E-02
DAV:   7    -0.399512961669E+03    0.11215E-04   -0.91595E-04  1520   0.211E-01    0.410E-02
DAV:   8    -0.399512967654E+03   -0.59847E-05   -0.22496E-04  1536   0.114E-01    0.298E-02
DAV:   9    -0.399512958151E+03    0.95031E-05   -0.90270E-05  1512   0.737E-02
   1 F= -.39951296E+03 E0= -.39935536E+03  d E =-.472796E+00
