       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.103275397123E+03   -0.10328E+03   -0.63198E+02 17662   0.429E+01    0.838E+00
RMM:   2    -0.100550813153E+03    0.27246E+01   -0.13255E+01 18024   0.101E+01    0.131E+00
RMM:   3    -0.100586501845E+03   -0.35689E-01   -0.92369E-01 18822   0.197E+00    0.793E-01
RMM:   4    -0.100589064203E+03   -0.25624E-02   -0.34877E-02 18637   0.341E-01    0.246E-01
RMM:   5    -0.100589497860E+03   -0.43366E-03   -0.21464E-03 18729   0.990E-02    0.672E-02
RMM:   6    -0.100589402898E+03    0.94963E-04   -0.11381E-03 18238   0.961E-02    0.202E-02
RMM:   7    -0.100589391577E+03    0.11320E-04   -0.71912E-05 15844   0.197E-02    0.471E-03
RMM:   8    -0.100589389954E+03    0.16229E-05   -0.82030E-06 10351   0.826E-03
   1 F= -.10058939E+03 E0= -.10058854E+03  d E =-.256326E-02
