       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.397643808406E+03   -0.39764E+03   -0.39069E+02 26369   0.213E+01    0.331E+00
RMM:   2    -0.397669481987E+03   -0.25674E-01   -0.55563E+00 27019   0.527E+00    0.178E+00
RMM:   3    -0.397618568228E+03    0.50914E-01   -0.30974E-01 27111   0.133E+00    0.792E-01
RMM:   4    -0.397605549320E+03    0.13019E-01   -0.25438E-02 27153   0.369E-01    0.192E-01
RMM:   5    -0.397604521535E+03    0.10278E-02   -0.28914E-03 27228   0.113E-01    0.168E-01
RMM:   6    -0.397603993634E+03    0.52790E-03   -0.11227E-03 27500   0.705E-02    0.950E-02
RMM:   7    -0.397603705586E+03    0.28805E-03   -0.48052E-04 27237   0.463E-02    0.196E-02
RMM:   8    -0.397603655421E+03    0.50165E-04   -0.68065E-05 25469   0.205E-02    0.989E-03
RMM:   9    -0.397603651292E+03    0.41291E-05   -0.37171E-06 14711   0.437E-03
   1 F= -.39760365E+03 E0= -.39759842E+03  d E =-.157029E-01
