       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.397643697027E+03   -0.39764E+03   -0.39068E+02 26373   0.213E+01    0.331E+00
RMM:   2    -0.397669577786E+03   -0.25881E-01   -0.55565E+00 27018   0.527E+00    0.178E+00
RMM:   3    -0.397618599071E+03    0.50979E-01   -0.31017E-01 27113   0.133E+00    0.793E-01
RMM:   4    -0.397605549270E+03    0.13050E-01   -0.25485E-02 27155   0.370E-01    0.192E-01
RMM:   5    -0.397604521753E+03    0.10275E-02   -0.28900E-03 27227   0.113E-01    0.168E-01
RMM:   6    -0.397603993932E+03    0.52782E-03   -0.11229E-03 27490   0.705E-02    0.950E-02
RMM:   7    -0.397603705542E+03    0.28839E-03   -0.48079E-04 27231   0.463E-02    0.196E-02
RMM:   8    -0.397603655417E+03    0.50125E-04   -0.68094E-05 25470   0.205E-02    0.989E-03
RMM:   9    -0.397603651284E+03    0.41329E-05   -0.37200E-06 14721   0.437E-03
   1 F= -.39760365E+03 E0= -.39759842E+03  d E =-.157030E-01
