       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.387612841980E+03   -0.38761E+03   -0.37163E+02 26346   0.207E+01    0.379E+00
RMM:   2    -0.387548647344E+03    0.64195E-01   -0.55411E+00 26937   0.502E+00    0.227E+00
RMM:   3    -0.387453413310E+03    0.95234E-01   -0.43973E-01 26962   0.160E+00    0.722E-01
RMM:   4    -0.387442870688E+03    0.10543E-01   -0.22610E-02 27049   0.344E-01    0.202E-01
RMM:   5    -0.387441726025E+03    0.11447E-02   -0.29313E-03 27183   0.118E-01    0.180E-01
RMM:   6    -0.387441121419E+03    0.60461E-03   -0.12606E-03 27349   0.727E-02    0.106E-01
RMM:   7    -0.387440778765E+03    0.34265E-03   -0.55188E-04 27153   0.489E-02    0.175E-02
RMM:   8    -0.387440722151E+03    0.56614E-04   -0.47769E-05 23203   0.174E-02    0.857E-03
RMM:   9    -0.387440718934E+03    0.32178E-05   -0.38237E-06 14749   0.435E-03
   1 F= -.38744072E+03 E0= -.38742389E+03  d E =-.504896E-01
