       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.387612895436E+03   -0.38761E+03   -0.37163E+02 26346   0.207E+01    0.379E+00
RMM:   2    -0.387548639244E+03    0.64256E-01   -0.55413E+00 26929   0.502E+00    0.227E+00
RMM:   3    -0.387453413367E+03    0.95226E-01   -0.43962E-01 26962   0.160E+00    0.722E-01
RMM:   4    -0.387442870835E+03    0.10543E-01   -0.22608E-02 27047   0.344E-01    0.202E-01
RMM:   5    -0.387441726103E+03    0.11447E-02   -0.29329E-03 27182   0.118E-01    0.180E-01
RMM:   6    -0.387441121635E+03    0.60447E-03   -0.12615E-03 27350   0.727E-02    0.106E-01
RMM:   7    -0.387440778760E+03    0.34288E-03   -0.55197E-04 27161   0.489E-02    0.175E-02
RMM:   8    -0.387440722107E+03    0.56653E-04   -0.48025E-05 23317   0.174E-02    0.860E-03
RMM:   9    -0.387440718881E+03    0.32260E-05   -0.38219E-06 14764   0.435E-03
   1 F= -.38744072E+03 E0= -.38742389E+03  d E =-.504897E-01
