       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.383274231783E+03   -0.38327E+03   -0.36559E+02 26276   0.205E+01    0.391E+00
RMM:   2    -0.383190408856E+03    0.83823E-01   -0.55590E+00 26865   0.494E+00    0.243E+00
RMM:   3    -0.383078549125E+03    0.11186E+00   -0.48901E-01 26889   0.169E+00    0.696E-01
RMM:   4    -0.383068857559E+03    0.96916E-02   -0.21722E-02 26995   0.335E-01    0.206E-01
RMM:   5    -0.383067669236E+03    0.11883E-02   -0.28233E-03 27117   0.116E-01    0.182E-01
RMM:   6    -0.383067042312E+03    0.62692E-03   -0.12963E-03 27277   0.729E-02    0.107E-01
RMM:   7    -0.383066689412E+03    0.35290E-03   -0.55954E-04 27124   0.491E-02    0.168E-02
RMM:   8    -0.383066631706E+03    0.57706E-04   -0.40221E-05 20431   0.160E-02    0.804E-03
RMM:   9    -0.383066628780E+03    0.29260E-05   -0.41245E-06 14737   0.447E-03
   1 F= -.38306663E+03 E0= -.38304866E+03  d E =-.539110E-01
