"free energy no u0 ----------------------------------------"
1.0e-20 0.017972690608401124
1 0.01796213963369761
2 0.017957534011709412
3 0.01795384880460494
4 0.01795061887410232
5 0.01794766736281045
6 0.017944905222807467
7 0.017942280527362305
8 0.01793976003136856
9 0.017937320813461395
10 0.0179349455221578
20 0.017908090456754767
40 0.017542162177175333
60 0.016195867442159933
80 0.013721319240322149
100 0.01021447117228141
120 0.005800842554609032
140 0.0005907879062492216
160 -0.0053252181666670895
180 -0.011873711114907839
200 -0.01899464210920107
220 -0.026638380996859216
240 -0.03476342413105673
260 -0.04333467665853263
280 -0.05232216423898727
300 -0.061700058500171594
320 -0.07144593146917605
340 -0.08154017845682827
360 -0.09196556618582925
380 -0.10270687534570133
400 -0.11375061521419677
420 -0.12508479409920978
440 -0.13669873354391682
460 -0.1485829174808448
480 -0.16072886952930307
500 -0.17312905357996086
520 -0.1857767938263103
540 -0.19866621154378475
560 -0.21179217669027273
580 -0.2251502729734965
600 -0.23873677578037575
620 -0.25254864283057454
640 -0.26658351807661007
660 -0.2808397500974854
680 -0.2953164270411181
700 -0.3100134313687546
720 -0.3249315192167365
740 -0.3400724313276217
760 -0.35543904601162585
780 -0.3710355894870655
800 -0.38686792702330747
820 -0.402943971356029
840 -0.41927426684733166
860 -0.4358728467588665
880 -0.4527585332904487
900 -0.46995699190509904
920 -0.48750415139408454
940 -0.5054522945808334
960 -0.5238819250455337
980 -0.5429279967945927
1000 -0.5628501998830496
